input_brand,url,h1_text,parsed_brand,parsed_count,brand_slug
,https://auto.ria.com/uk/car/infiniti/,1 700+ оголошень про продаж Infiniti,1 700+ Оголошень Про Infiniti,,infiniti
,https://auto.ria.com/uk/car/isuzu/,78 оголошень про продаж Isuzu,78 Оголошень Про Isuzu,78,isuzu
,https://auto.ria.com/uk/car/iveco/,655 оголошень про продаж Iveco,655 Оголошень Про Iveco,655,iveco
,https://auto.ria.com/uk/car/jac/,186 оголошень про продаж JAC,186 Оголошень Про Jac,186,jac
,https://auto.ria.com/uk/car/jaguar/,943 оголошення про продаж Jaguar,943 Про Jaguar,943,jaguar
,https://auto.ria.com/uk/car/jawa/,218 оголошень про продаж Jawa,218 Оголошень Про Jawa,218,jawa
,https://auto.ria.com/uk/car/jcb/,457 оголошень про продаж JCB,457 Оголошень Про Jcb,457,jcb
,https://auto.ria.com/uk/car/jeep/,3 900+ оголошень про продаж Jeep,3 900+ Оголошень Про Jeep,,jeep
,https://auto.ria.com/uk/car/kanuni/,30 оголошень про продаж Kanuni,30 Оголошень Про Kanuni,30,kanuni
,https://auto.ria.com/uk/car/kawasaki/,740 оголошень про продаж Kawasaki,740 Оголошень Про Kawasaki,740,kawasaki
,https://auto.ria.com/uk/car/kaya/,12 оголошень про продаж Kaya,12 Оголошень Про Kaya,12,kaya
,https://auto.ria.com/uk/car/kia/,8 100+ оголошення про продаж Kia,8 100+ Про Kia,,kia
,https://auto.ria.com/uk/car/kogel/,691 оголошення про продаж Kogel,691 Про Kogel,691,kogel
,https://auto.ria.com/uk/car/krone/,920 оголошень про продаж Krone,920 Оголошень Про Krone,920,krone
,https://auto.ria.com/uk/car/ktm/,268 оголошень про продаж KTM,268 Оголошень Про Ktm,268,ktm
,https://auto.ria.com/uk/car/kubota/,Kubota — 208 пропозицій,Kubota — 208 Пропозицій,,kubota
,https://auto.ria.com/uk/car/lag/,61 оголошення про продаж LAG,61 Про Lag,61,lag
,https://auto.ria.com/uk/car/lamborghini/,16 оголошень про продаж Lamborghini,16 Оголошень Про Lamborghini,16,lamborghini
,https://auto.ria.com/uk/car/lancia/,88 оголошень про продаж Lancia,88 Оголошень Про Lancia,88,lancia
,https://auto.ria.com/uk/car/land-rover/,2 600+ оголошень про продаж Land Rover,2 600+ Оголошень Про Land Rover,,land-rover
,https://auto.ria.com/uk/car/lexus/,3 100+ оголошення про продаж Lexus,3 100+ Про Lexus,,lexus
,https://auto.ria.com/uk/car/lifan/,712 оголошень про продаж Lifan,712 Оголошень Про Lifan,712,lifan
,https://auto.ria.com/uk/car/like-bike/,11 оголошень про продаж Like.Bike,11 Оголошень Про Like.bike,11,like-bike
,https://auto.ria.com/uk/car/lincoln/,613 оголошень про продаж Lincoln,613 Оголошень Про Lincoln,613,lincoln
,https://auto.ria.com/uk/car/mag-trailer/,12 оголошень про продаж MAG Trailer,12 Оголошень Про Mag Trailer,12,mag-trailer
,https://auto.ria.com/uk/car/malaguti/,11 оголошень про продаж Malaguti,11 Оголошень Про Malaguti,11,malaguti
,https://auto.ria.com/uk/car/man/,1 900+ оголошень про продаж MAN,1 900+ Оголошень Про Man,,man
,https://auto.ria.com/uk/car/maserati/,136 оголошень про продаж Maserati,136 Оголошень Про Maserati,136,maserati
,https://auto.ria.com/uk/car/maxxter/,19 оголошень про продаж Maxxter,19 Оголошень Про Maxxter,19,maxxter
,https://auto.ria.com/uk/car/mazda/,8 000+ оголошень про продаж Mazda,8 000+ Оголошень Про Mazda,,mazda
,https://auto.ria.com/uk/car/mercedes-benz/,17 500+ оголошень про продаж Mercedes-Benz,17 500+ Оголошень Про Mercedes-benz,,mercedes-benz
,https://auto.ria.com/uk/car/mercury/,37 оголошень про продаж Mercury,37 Оголошень Про Mercury,37,mercury
,https://auto.ria.com/uk/car/mg/,261 оголошення про продаж MG,261 Про Mg,261,mg
,https://auto.ria.com/uk/car/mini/,904 оголошення про продаж MINI,904 Про Mini,904,mini
