Brand;Count
6465;7
6475;7
6480;18
6485;4
6495;3
6499;2
6613;2
6713;14
6715;3
6716;3
6718;3
7465;3
7475;2
7480;4
7485;6
7495;4
7616;3
7618;6
7619;3
7620;9
7624;8
7716;6
7718;11
7719;5
7720;12
7722;8
7724;5
7726;23
8110;2
8160;5
8220;3
8250;3
8280;2
8480;6
8650;2
8670;3
8690;6
8727;9
8732;5
8737;14
8740;17
Massey;5
McCormick;75
CX;10
MC;5
MTX;8
XTX;5
ZTX;1
Mercedes-Benz;64
Actros;1
MB;43
Unimog;14
Merlo;2
MULTIFARMER;2
Mitsubishi;58
D-series;2
FD;1
MT;8
Morooka;7
Mulag;1
MultiOne;5
Multicar;1
M-series;1
Müthing;1
MU;1
New Holland;1104
8030;2
G-series;4
L-series;3
NH;5
T-series;789
TC;3
TD;61
TG;7
TL;34
TM;45
TN;26
TS;42
TVT;6
Nuffield;4
Oros;1
PGS;1
Pasquali;7
Pauny;1
Pellenc;1
Perfect;1
Pfanzelt;1
Pichon;3
TCI;2
Plus Power;5
TT;5
Porsche;14
Pronar;1
T679;1
Razol;1
Reform;7
Renault;48
Ares;14
Ceres;1
Ergos;2
Temis;3
Rimas;1
Ropa;1
Keiler;1
SAME;93
Antares;3
Argon;6
Dorado;17
Explorer;19
Frutteto;3
Laser;4
Mercury;1
Ranger;1
Rubin;3
Silver;10
Tiger;3
Titan;2
Virtus;1
SDF;1
Samco;1
Samson;1
SG;1
Sauerburger;1
Sava;2
Schlüter;3
Schäffer;14
1622;1
2028;2
Shibaura;24
SD;1
SP;3
Shifeng;1
SF;1
Sieger;1
Silverstone;1
Solis;93
26;68
50;9
60;8
75;2
90;3
Spike;7
Steyr;224
9094;2
9105;1
CVT;107
Expert CVT;13
Kompakt;29
Multi;25
Profi;51
Terrus CVT;18
Stoll;1
Suer;1
TAFE;2
TYM;21
T273;2
Taihong;1
Takeuchi;3
TB;2
TL;1
Talex;1
Taylor-Dunn;1
Tecnoma;1
Terex;2
TW;1
Thaler;11
Treffler;1
Trimble;1
Tümosan;1
Ursus;11
C330;1
C 360;2
C360;2
VST;4
Valmet;24
840;1
6200;1
6400;3
8050;1
8100;1
8400;1
Valpadana;2
Valtra;560
A-series;60
G-series;20
M-series;1
N-series;127
Q-series;34
S-series;48
T-series;235
Versatile;1
Volvo;55
BM;5
Vreten;1
Weidemann;3
3080;1
Wielton;1
PRS;1
Wienhoff;3
YTO;57
NLX 1024;3
SK;1
X-series;9
Yanmar;128
AC;5
AF;5
EF;3
F-series;9
KE;8
RS;1
YM;8
Yard King;1
Yüksel Tarim;1
Zetor;82
7211;1
7341;1
Crystal;5
Forterra;10
Major;2
Proxima;12
Ziegler;1
Zoomlion;3
Zunhammer;6
Zürn;1
Škoda;1
Агрико;1
ВТЗ;1
ДТ;1
75;1
ДТЗ;5
5244;1
Кировец;7
K;4
К 701;3
МТЗ Беларус;57
40;2
50;2
80;5
82;4
152;1
892;6
952;5
1221;12
1523;5
2022;5
3022;1
Ростсельмаш;2
Слобожанець;1
ХТЗ;18
150;13
