brand,model,count,example
volkswagen,t-roc,40,https://automoto.com.lv/ru/avto?page=46
volkswagen,t-cross,31,https://automoto.com.lv/ru/avto?page=47
toyota,c-hr,23,https://automoto.com.lv/ru/avto?page=35
honda,cr-v,21,https://automoto.com.lv/ru/avto?page=14
mercedes-benz,c-220,15,https://automoto.com.lv/ru/avto?page=10
ford,c-max,14,https://automoto.com.lv/ru/avto?page=31
ford,s-max,12,https://automoto.com.lv/ru/avto?page=21
mercedes-benz,e-class,10,https://automoto.com.lv/ru/avto?page=35
mercedes-benz,e-200,8,https://automoto.com.lv/ru/avto?page=24
nissan,x-trail,7,https://automoto.com.lv/ru/avto?page=15
saab,9-3,7,https://automoto.com.lv/ru/avto?page=45
mercedes-benz,clc-220,6,https://automoto.com.lv/ru/avto?page=6
fiat,500-x,6,https://automoto.com.lv/ru/avto?page=49
mercedes-benz,c-class,6,https://automoto.com.lv/ru/avto?page=116
mazda,cx-3,5,https://automoto.com.lv/ru/avto?page=21
mazda,cx-30,5,https://automoto.com.lv/ru/avto?page=46
saab,9-5,4,https://automoto.com.lv/ru/avto?page=16
mazda,cx-5,4,https://automoto.com.lv/ru/avto?page=73
citroen,c3-aircross,4,https://automoto.com.lv/ru/avto?page=74
mercedes-benz,e-500,4,https://automoto.com.lv/ru/avto?page=109
citroen,c4-picasso,4,https://automoto.com.lv/ru/avto?page=127
mini,cooper-s,3,https://automoto.com.lv/ru/avto
mercedes-benz,gl-class,3,https://automoto.com.lv/ru/avto?page=2
mercedes-benz,cls-class,3,https://automoto.com.lv/ru/avto?page=20
mercedes-benz,a-250,3,https://automoto.com.lv/ru/avto?page=48
mercedes-benz,gle-class,3,https://automoto.com.lv/ru/avto?page=59
citroen,xsara-picasso,3,https://automoto.com.lv/ru/avto?page=81
mercedes-benz,gls-class,2,https://automoto.com.lv/ru/avto?page=26
mercedes-benz,c-270,2,https://automoto.com.lv/ru/avto?page=37
mercedes-benz,amg-gt,2,https://automoto.com.lv/ru/avto?page=58
jaguar,s-type,2,https://automoto.com.lv/ru/avto?page=69
bmw,1-series,2,https://automoto.com.lv/ru/avto?page=87
suzuki,grand-vitara,2,https://automoto.com.lv/ru/avto?page=87
renault,grand-espace,2,https://automoto.com.lv/ru/avto?page=89
mercedes-benz,clk-270,2,https://automoto.com.lv/ru/avto?page=98
mercedes-benz,glk-250,2,https://automoto.com.lv/ru/avto?page=104
mercedes-benz,b-250,2,https://automoto.com.lv/ru/avto?page=140
mercedes-benz,m-class,2,https://automoto.com.lv/ru/avto?page=157
honda,hr-v,2,https://automoto.com.lv/ru/avto?page=163
bmw,m-series,2,https://automoto.com.lv/ru/avto?page=167
mitsubishi,l-200,2,https://automoto.com.lv/ru/avto?page=212
jaguar,f-pace,1,https://automoto.com.lv/ru/avto?page=12
audi,e-tron,1,https://automoto.com.lv/ru/avto?page=20
mercedes-benz,c-320,1,https://automoto.com.lv/ru/avto?page=37
lexus,nx-300,1,https://automoto.com.lv/ru/avto?page=50
mercedes-benz,gl-420,1,https://automoto.com.lv/ru/avto?page=53
lexus,es-300-h,1,https://automoto.com.lv/ru/avto?page=93
citroen,c4-aircross,1,https://automoto.com.lv/ru/avto?page=94
mercedes-benz,sl-class,1,https://automoto.com.lv/ru/avto?page=99
mazda,mx-5,1,https://automoto.com.lv/ru/avto?page=111
mercedes-benz,e-420,1,https://automoto.com.lv/ru/avto?page=111
mercedes-benz,sl-380,1,https://automoto.com.lv/ru/avto?page=112
mercedes-benz,cl-500,1,https://automoto.com.lv/ru/avto?page=112
honda,fr-v,1,https://automoto.com.lv/ru/avto?page=122
volkswagen,passat-variant,1,https://automoto.com.lv/ru/avto?page=132
mercedes-benz,e-250,1,https://automoto.com.lv/ru/avto?page=138
mercedes-benz,clk-class,1,https://automoto.com.lv/ru/avto?page=150
ford,f-series,1,https://automoto.com.lv/ru/avto?page=154
mercedes-benz,b-class,1,https://automoto.com.lv/ru/avto?page=155
jaguar,f-type,1,https://automoto.com.lv/ru/avto?page=160
mercedes-benz,gla-220,1,https://automoto.com.lv/ru/avto?page=174
mazda,mx-3,1,https://automoto.com.lv/ru/avto?page=177
mercedes-benz,s-550,1,https://automoto.com.lv/ru/avto?page=178
mitsubishi,i-miev,1,https://automoto.com.lv/ru/avto?page=181
mercedes-benz,b-170,1,https://automoto.com.lv/ru/avto?page=184
volkswagen,golf-variant,1,https://automoto.com.lv/ru/avto?page=186
lexus,ct-200h,1,https://automoto.com.lv/ru/avto?page=199
mercedes-benz,s-class,1,https://automoto.com.lv/ru/avto?page=202
ford,f-150,1,https://automoto.com.lv/ru/avto?page=205
mercedes-benz,glc-class,1,https://automoto.com.lv/ru/avto?page=206
lexus,ux-250h,1,https://automoto.com.lv/ru/avto?page=207
mercedes-benz,s-63-amg,1,https://automoto.com.lv/ru/avto?page=230
mercedes-benz,ml-430,1,https://automoto.com.lv/ru/avto?page=231
toyota,verso-s,1,https://automoto.com.lv/ru/avto?page=247
