Brand;Count
Aprilia;2
ATV;4
BMW;9
Bombardier;2
CFMOTO;2
CPI;1
CZ;1
Daelim;1
Derbi;1
Ducati;1
Harley-Davidson;7
Honda;17
Husqvarna;1
Indian;1
Jawa;4
Kawasaki;14
Linhai;1
Loncin;1
Mondial;2
Peugeot;4
Piaggio;1
Polaris;1
Suzuki;20
Triumph;4
Turist;1
Victory;3
Yamaha;29
Урал;2
