Brand;Count
Aprilia;6
Benelli;7
BMW;45
Brixton;0
ČZ;0
Dņepr;0
Ducati;3
FB Mondial;4
GAS;0
Harley-Davidson;2
Honda;102
Husqvarna;9
Indian;0
Iz;0
Jawa;0
Kawasaki;55
KTM;17
Lifan;0
Malaguti;1
Mash;0
Minsk;0
Moto Guzzi;0
Moto Morini;0
Mutt;9
MV Agusta;0
Royal Enfield;1
Suzuki;58
SWM;0
Triumph;9
Tula;0
Ural;0
Voshod;0
Yamaha;59
Другие мотоциклы;22
