Brand;Count
Alfa Romeo;38
Audi;712
BMW;1124
Buick;2
Cadillac;23
Chevrolet;49
Chrysler;47
Citroen;127
Daihatsu;2
Dodge;25
Fiat;45
Ford;314
Honda;136
Hyundai;110
Jaguar;52
Jeep;14
Kia;229
Lada;15
Lancia;13
Land Rover;24
Lexus;87
Mazda;98
MB;876
Mitsubishi;57
Nissan;117
Opel;193
Peugeot;233
Pontiac;4
Porsche;75
Renault;125
Rover;1
Saab;43
Seat;65
Skoda;430
Smart;7
Subaru;85
Suzuki;12
Toyota;384
VW;756
Volvo;485
* Muud margid;291
